No.,Type,O,O1,O2,O3,O4,REAL,C,T,B,S,P,Viol,Lie,VC,VT,VB,VS,VP,AVC,AVT,AVB,AVS,AVP,Int1,Int2
52,CHUA DO ONG NGHE DA DE HANG TONG,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0
53,"DI PHAI THANG CHET TROI, TOI PHI DOI SAU SANH",1,1,1,0,0,0,1,0,0,1,1,0,1,1,0,0,1,1,1,0,0,0,0,0,1
54,CAI KIEN MAY KIEN CU KHOAI,0,0,0,0,0,0,1,1,1,0,1,0,1,0,1,0,0,1,1,0,1,0,0,0,1
55,"VAN KHU HOAI SON NANG TRI TU, THOI LAI BACH THUY KHA THOI SINH",1,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0
56,TRINH PHU HAI CHONG,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0
57,KIEN NGANH DA,1,0,1,0,0,0,1,0,1,1,1,0,1,1,0,0,1,1,1,0,1,0,0,0,1
58,"TO DAU MA DAI, NHO DAI MA KHON",1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
59," NHAN THAM TAI NHI TU, DIEU THAM THUC NHI VONG",0,0,1,1,0,0,1,1,0,0,1,0,0,1,1,0,0,1,1,0,0,0,0,0,0
60,NOI DOI NHU CUOI,1,1,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
61,"CUA TROI TROI LAI LAY DI, GIUONG DOI MAT ECH LAM CHI DUOC TROI",0,1,0,1,0,0,1,1,1,1,0,1,1,0,1,0,1,0,1,0,1,0,0,0,0
62,HAI ONG TUONG DA RAI,0,0,0,0,0,0,1,0,1,1,0,1,1,1,0,0,1,0,1,0,1,0,0,0,1
63,LE NHU HO,1,1,1,1,1,0,1,0,0,1,1,0,1,1,0,0,1,1,0,0,0,0,0,0,0
64,CHANG LIA,0,1,0,0,0,0,1,0,1,1,1,1,0,1,0,0,0,1,0,0,1,1,0,0,1
65,ANH EM SINH NAM,1,1,1,0,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,0,0,0,0,0,0
66,BON ANH TAI,1,1,1,0,0,0,1,1,1,1,1,0,1,1,1,1,1,1,1,0,0,0,0,0,0
67,KHONG LO DUC CHUONG HAY LA SU TICH TRAU VANG HO TAY,1,1,1,1,1,0,1,1,1,1,1,0,0,1,1,1,1,1,0,0,0,0,0,0,0
68,THACH SANH,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,0,0,0,0,1
69,DAI VUONG HAI HAY LA TRUYEN GIET THUONG LUONG ,0,1,0,0,1,0,1,0,0,1,1,1,0,1,0,0,1,1,1,0,0,0,0,0,0
70,ONG O,1,1,1,1,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0
71,AM DUONG GIAO CHIEN,0,1,0,0,0,0,1,1,1,1,1,1,0,1,0,0,1,0,0,1,1,0,1,0,0
72,YET KIEU,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,0,0,1,0,0,0,1
73,LY ONG TRONG HAY LA SU TICH THANG CHEM,0,1,0,0,0,0,1,0,1,1,1,1,1,1,0,0,0,1,0,0,1,1,0,0,1
74,BAY GIAO CHIN QUY,1,1,1,0,0,0,1,1,1,0,1,1,1,0,0,0,0,1,1,1,1,0,0,1,1
75,NGUOI A DAO VOI GIAC MINH,1,1,1,0,1,1,1,1,0,0,1,1,0,1,1,0,0,1,0,0,0,0,0,0,1
76,BOM LAI GAP BOM HAY BOM GIA MAC BAY CO KE,1,1,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0
77,QUAN GIO,1,1,1,1,1,1,1,0,1,1,1,0,0,1,0,0,1,1,0,0,1,0,0,0,0
78,CON MOI LAM CHUNG,1,1,1,1,0,0,1,0,0,1,1,0,1,1,0,0,1,1,0,0,0,0,0,0,0
79,BUI CAM HO,1,1,1,1,1,1,1,1,0,1,1,0,0,1,1,0,1,1,0,0,0,0,0,0,1
80,EM BE THONG MINH,1,1,1,1,1,0,0,0,0,1,0,0,1,0,0,1,1,1,0,0,0,0,0,0,1
81,TRANG HIEN,1,1,1,1,1,1,1,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1
82,THAN GIU CUA,1,1,1,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1,1,0,1,0,0,1
83,KE TROM DAY HOC TRO,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0
84,CON MU LUONG,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1
